id,task_type,context_is_null,prompt_bn,response_bn,gold_label,auditor_confidence,needs_human_review,audit_reason,why_selected,suggested_checker,context
397,bangla_grammar,True,‘লাঠালাঠি’ শব্দটির সমাস –,কর্মধারায়,,,,,Bangla grammar/samas,Bangla grammar rule/checker table,[NULL]
453,bangla_grammar,True,ক্রিয়া পদের মূল অংশকে বলা হয়-,ধাতু,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,[NULL]
918,bangla_grammar,True,‘লাঠালাঠি’- এটি কোন সমাস?,কর্মধারয় সমাস,,,,,Bangla grammar typo/variant,Bangla grammar rule/checker table,[NULL]
1903,bangla_grammar,True,সমাস ভাষাকে কি করে?,অর্থের রূপান্তর ঘটায়,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,[NULL]
2110,bangla_grammar,False,"ব্যাসবাক্য অনুযায়ী, 'মনগড়া' শব্দটি কোন সমাসের উদাহরণ?",সপ্তমী তৎপুরুষ,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,মনগড়া' শব্দটির ব্যাসবাক্য হলো: মন দ্বারা গড়া।
2122,bangla_grammar,False,"ব্যাসবাক্য অনুযায়ী, 'তেমাথা' শব্দটি কোন সমাসের উদাহরণ?",বহুব্রীহি,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,তেমাথা' শব্দটির ব্যাসবাক্য হলো: তিন মাথার সমাহার।
2123,bangla_grammar,False,"ব্যাসবাক্য অনুযায়ী, 'পঞ্চবটী' শব্দটি কোন সমাসের উদাহরণ?",দ্বিগু,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,পঞ্চবটী' শব্দটির ব্যাসবাক্য হলো: পাঁচ বটের সমাহার।
2132,bangla_grammar,False,"ব্যাসবাক্য অনুযায়ী, 'গালাগালি' শব্দটি কোন সমাসের উদাহরণ?",ব্যতিহার বহুব্রীহি,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,গালাগালি' শব্দটির ব্যাসবাক্য হলো: পরস্পর গালির দ্বারা।
2134,bangla_grammar,False,বিদ্যা' ও 'আলয়' শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,বিদ্যাআলয়,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,বিদ্যা' ও 'আলয়' শব্দ দুটির মিলনে সন্ধির নিয়ম অনুযায়ী একটি নতুন শব্দ গঠিত হয়। এটি স্বরসন্ধি (আ+আ=আ) এর উদাহরণ।
2137,bangla_grammar,False,মহা' ও 'ঈশ' শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,মহাঈশ,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,মহা' ও 'ঈশ' শব্দ দুটির মিলনে সন্ধির নিয়ম অনুযায়ী একটি নতুন শব্দ গঠিত হয়। এটি স্বরসন্ধি (আ+ঈ=এ) এর উদাহরণ।
